,Comments,Date,Likes
71,The disrespect this man receivedis mind blowing especially when you see the way Dana white treats people like triple C. I will always say it and the one reason why I’ll never buy or pay of a ufc even again dana white is a piece of shit human being,2023-08-09T14:18:41Z,0
72,"Brilliant,",2023-08-08T16:31:04Z,0
73,UFC - not the best fight channel = there are other channels and top quality fights = go and look = i still watch UFC - KI any !,2023-08-08T02:41:59Z,1
74,ONE IS TOO MUCH BETTER THEN ufc,2023-08-07T12:53:46Z,0
75,"From someone that doesn't really watch much MMA besides stuff on YT, this was a very well done doc. Not too long/short, to the point, no rambling, etc.. Thanks for the insight. I always thought DJ seemed like a good dude and I can relate to putting years into something while staying humble and once I try to speak up they just do the opposite. As if, Dana and Sean scoffed at the idea of one of THEIR fighters would suggest to THEM something, so we better show him who the boss is.",2023-08-07T09:28:08Z,0
76,"He seems like a really cool dude, well done DJ.",2023-08-06T14:28:51Z,1
77,I commented on the Askren video and got it wrong. I get your channel now. I hope you are very successful on YouTube because you make some of the best fight documentaries ive seen. Kudos to you sir.,2023-08-05T13:54:31Z,0
78,"DJ is a legend, the dude is nasty through and through in and out of any ring. It's rare to see someone with such respect and dignity that can also throw down for belts. IMO the challengers he faced in ONE on top of the rules and extra shit you have to watch out for is way more respectful than UFC fights.",2023-08-04T14:34:50Z,0
79,💯💯💯💯,2023-08-03T12:09:44Z,0
80,GOAT. Perfect inside and outside of the cage.,2023-08-03T01:03:23Z,0
81,The flying knee finish is literally poetry in motion,2023-07-31T22:24:36Z,0
82,Screw ufc. I won't watch this shit.,2023-07-29T21:50:43Z,2
83,Dana white has become the don king of mma,2023-07-28T08:39:23Z,0
84,"One is a better mma organisation than UFC, dana white's a scumbag",2023-07-27T01:42:34Z,0
85,"Found your channel now, after this video immediately subscribed, brilliant allround editing narration everything is top notch.",2023-07-25T15:24:48Z,0
86,Demetrius's constitution reminds me of a muscle that gained autonomy.,2023-07-22T20:32:15Z,0
87,"Love this video. I am happy that the spiritual side of martial arts is celebrated, over all the showboating and trash talking. Great script and editing in this video as well. Great job!",2023-07-18T13:09:43Z,0
88,"Shout out to Rodtang. Like fuck it, choke me out. I don't tap and gave him nothing but respect after.",2023-07-13T15:06:32Z,0
89,unpopular opinion … DJ is super unlikeable out of the ring,2023-07-11T21:55:43Z,0
90,I love it when they give a pass to thos woman who was obviously super loose in them streets...,2023-07-09T02:08:44Z,0
91,"A national tv channel should make a weekly show with this channel or whoever is doing the work on this channel, done very well. It’s like I’m watching a discovery channel doc about MMA",2023-07-08T01:50:52Z,0
92,This guy is really good at editing and making content and has a background education in this or this is made by AI,2023-07-08T01:43:58Z,0
