,Comments,Date,Likes
94,Stamp is talented but the showboating is too gimmicky and doesn’t represent traditional Muay Thai,2023-07-08T07:48:47Z,0
95,🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡,2023-07-08T02:16:32Z,0
96,I hope to see Stamp vs Petjeeja one day,2023-07-07T17:00:06Z,0
97,great video,2023-07-07T05:12:33Z,0
98,Such a powerful story,2023-07-06T16:12:32Z,2
99,I started watching one last year and completely fell in love with both of these fighters immediately but I didn't know much about them other than the fact that they are undoubtedly the best at what they do so this video showed me so much and I learned so much about them- like I had no idea that they were this connected in the past- it was very interesting to find out about their stories so Thank you for this video,2023-07-06T13:02:16Z,18
100,Greatest mma YouTuber ♥️ even I told my school teacher about you I love you man,2023-07-06T03:38:56Z,2
101,This was perfectly done! 👌🏾,2023-07-06T03:29:55Z,0
102,"Very good documentary, the first time I did Muay Thai I fell in love with the sport, and I always had and still have admiration for these athletes who come from ""nothing"" become successes with hard work and dedication, these should indeed be the examples for the new youth , many nowadays think that staying in comfort will take them where they want but everything takes effort and leaving the comfort zone, thanks for this documentary 🙏🥊",2023-07-05T14:27:38Z,3
103,In Texas we have shotty duels,2023-07-05T06:11:37Z,0
104,FYI Rodtang is a tank in Thai language which fit himwell.,2023-07-05T04:31:45Z,0
105,this was just about 2 fighters not what the title says,2023-07-04T21:56:07Z,0
106,Imagine you bully the small thai kid and  it turns out their parents are fucking Rodtang and Stamp,2023-07-04T20:16:11Z,0
107,Anyone know the last song at 33:15?,2023-07-04T14:51:34Z,0
108,What about Muay  Lao,2023-07-04T12:32:55Z,0
109,Yooo. I just join your membership 🥊 looking forward to watch more exciting content 😁,2023-07-04T05:34:28Z,0
110,"Man how this channel has less than 100k subs is surprising, absolutely stellar level material, deserves  millions of subs! Quality stuff",2023-07-04T04:52:05Z,6
111,"The content of this mini documentary was great. The title is quite poor though. Child muay thai takes up about 5% of the video and if anything, you are proving that it is not ""savagely violent/brutal"" but humane and fulfilling.",2023-07-03T15:44:16Z,0
112,what's the theme song at 8min,2023-07-02T15:47:19Z,0
113,that’s rlly messed up,2023-07-02T09:05:05Z,0
114,"Man all your videos are so well done! Definitely high class mini documentaries I can’t get enough of these. I would to see your take on some fighters like Alexander Volkanovski, Jamahal Hill, or Brandon Moreno.
But I think Shavkat Rakhmonov would Abe a great one for me personally because of the fact of how he’s undefeated and super underrated in the ufc would be a great one to watch your take on him. They even have videos on fighters like Stephen Thompson saying how he didn’t want to take a fight with him how he was scared to fight him and khamzat acknowledging how good he is. There’s also videos of Joe Rogan speaking on him plus he’s ranked 6th in the welterweight and is almost a title contender. Would be interesting to see your take on it.",2023-07-01T21:30:19Z,1
115,"Dope documentary, nice job!",2023-07-01T19:57:01Z,0
116,"Good job guy.
     Thanks.",2023-07-01T18:35:19Z,0
117,Brilliant documentary. Thank you,2023-07-01T16:35:34Z,1
